Focus,Best Starts for Kids Strategy,Partner,Project Description/Name,Contract Amount,King County Council Dist
Prenatal - 5,Promoting First Relationships,Catholic Community Services,Pregnancy and Parenting Support Program. Contract End Date: 12/31/23,"$   3,379.00",2
Prenatal - 5,Promoting First Relationships,Congolese Integration Network,Human Service Agency. Contract End Date: 12/31/23,"$   7,135.00",5
Prenatal - 5,Promoting First Relationships,Encompass Northwest,Wrap-Around Pregnancy Health. Contract End Date: 12/31/23,"$   12,202.00",3
Prenatal - 5,Promoting First Relationships,FamilyWorks,Family Resource Center. Contract End Date: 12/31/23,"$   3,276.00",
Prenatal - 5,Promoting First Relationships,Kindering,[COMING SOON] Contract End Date: 12/31/23,"$   31,211.00",
Prenatal - 5,Promoting First Relationships,Ryther,Community Mental Health Center. Contract End Date: 12/31/23,"$   7,277.00",1
Prenatal - 5,Promoting First Relationships,St. Stephen Housing Association,Serves families with children experiencing a housing crisis. Contract End Date: 12/31/23,"$   6,065.00",9
Prenatal - 5,Promoting First Relationships,University of Washington,[COMING SOON]. Contract End Date: 12/31/23,"$   117,782.00",
5 - 24,SBH: Center Enhancement,Boys & Girls Club of King County,"The School-Based Health Centers (SBHC) Enhancement strategy focuses on advancing social justice, racial equity, and culturally-responsive School Based Health Center (SBHC) service provision and increasing mental/behavioral health care in SBHCs. This funding opportunity invests in partnerships between SBHCs, schools, and community-based organizations to enhance existing SBHC services for three school years with opportunity for additional funding through the life of the Levy. Boys & Girls Club will partner with the SBHC at Rainier Beach High School in Seattle, which is operated by Public Health—Seattle & King County.  Contract End Date: 8/31/25","$   667,518.00",2
5 - 24,SBH: Center Enhancement,King County Sexual Assault Resource Center,"The School-Based Health Centers (SBHC) Enhancement strategy focuses on advancing social justice, racial equity, and culturally-responsive School Based Health Center (SBHC) service provision and increasing mental/behavioral health care in SBHCs. This funding opportunity invests in partnerships between SBHCs, schools, and community-based organizations to enhance existing SBHC services for three school years with opportunity for additional funding through the life of the Levy. KCSARC will partner with the SBHC at Highline High School in Burien, which is operated by HealthPoint Community Health Centers.  Contract End Date: 8/31/25","$   453,574.00","2, 5, 8"
5 - 24,SBH: Center Enhancement,Sea Mar Community Health Center,,"$   45,000.00",
5 - 24,SBIRT,Auburn School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   50,000.00","5, 7, 9"
5 - 24,SBIRT,Enumclaw School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Moving toward implementation. Contract End Date: 6/30/25","$   50,000.00","7, 9"
5 - 24,SBIRT,Highline Public Schools,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   225,225.00","5, 7, 8"
5 - 24,SBIRT,Kennedy Catholic High School,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   41,000.00",8
5 - 24,SBIRT,Kent School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   583,000.00","5, 7"
5 - 24,SBIRT,Mercer Island School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   100,000.00",6
5 - 24,SBIRT,Northshore School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   193,333.00","1, 3"
5 - 24,SBIRT,Renton School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Moving toward implementation. Contract End Date: 6/30/25","$   50,000.00","2, 5"
5 - 24,SBIRT,Seattle Public Schools,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   331,663.00","4, 8, 2, 1"
5 - 24,SBIRT,Skykomish School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   110,000.00",3
5 - 24,SBIRT,Snoqualmie Valley School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   130,000.00",3
5 - 24,SBIRT,Tahoma School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   299,732.00","7, 9, 3, 5"
5 - 24,SBIRT,Tukwila School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   135,000.00","5, 7, 2, 8"
5 - 24,SBIRT,Vashon Island School District,"School-Based SBIRT provides a structured approach to promoting social and emotional health and strives to prevent/delay/decrease substance use among middle and high school students. Counselors offer screening, brief interventions, referrals, case management and behavioral health support groups. These enhanced behavioral health prevention services reached 60 middle and high schools across 13 school districts and one private school in King County. School-Based SBIRT uses a secure and teen-friendly digital screen that is tailored to include cultural considerations and designed to provide instant, personalized feedback. The screen is translated into Spanish and Vietnamese and will soon be available in 13 more languages. BSK funding is blended with MIDD Behavioral Health sales tax funding. Contract End Date: 6/30/25","$   220,000.00",8
5 - 24,School 2 Work,AtWork! Washington,"The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   60,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,School 2 Work,ENSO Employment Services,"The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   10,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,School 2 Work,Highline College,"The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   30,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,School 2 Work,Northwest Center,"The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   60,000.00","1, 2, 4, 3, 5, 6, 7, 8, 9"
5 - 24,School 2 Work,Provail,"The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   80,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,School 2 Work,Puget Sound Personnel,"The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   30,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,School 2 Work,"SAILS Washington, Inc.","The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   5,000.00","1, 3, 4, 5, 6, 7, 9"
5 - 24,School 2 Work,SKCAC Industries & Employment Services,"The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   20,000.00","1, 2, 5, 6, 7, 8, 9"
5 - 24,School 2 Work,"Sunrise Services, Inc.","The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   20,000.00","1, 2, 3, 4, 6, 7, 8"
5 - 24,School 2 Work,"Supported Solution, LLC","The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   10,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,School 2 Work,Trillium Employment Services,"The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   80,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,School 2 Work,Vadis,"The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   60,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,School 2 Work,Workathon LLC,"The King County School-to-Work Program (S2W) supports students with intellectual and developmental disabilities to obtain employment prior to graduating from their high school transition programs. Connecting students to employment and other services early, School-to-Work partners with students, their families or primary supports, schools, and across state systems to navigate what is needed to achieve long-term employment and a more seamless transition to adult life after high school. Contract End Date: 6/30/24","$   25,000.00","1, 2, 4, 5, 7, 8, 9"
5 - 24,School-Based Health (new sites 2022),HealthPoint,"Children and young people have better health outcomes and overall well-being when they can routinely access care for their mental, behavioral, emotional and physical health. One way Best Starts is working to reduce barriers for young people to accessing health services is by funding School Based Health Centers (SBHC).  These health centers are student-focused to promote young people seeking care, while also cultivating nurturing and safe environments where young people can build relationships with trusted adults and with healthcare systems.  HealthPoint to implement a new school-based health center at Highline High School. HealthPoint is being awarded more than $350,000 through their contract.","$   357,000.00","8, 2, 5"
5 - 24,School-Based Health (new sites 2022),Sea Mar Community Health Center,"Children and young people have better health outcomes and overall well-being when they can routinely access care for their mental, behavioral, emotional and physical health. One way Best Starts is working to reduce barriers for young people to accessing health services is by funding School Based Health Centers (SBHC).  These health centers are student-focused to promote young people seeking care, while also cultivating nurturing and safe environments where young people can build relationships with trusted adults and with healthcare systems. Sea Mar Community Health Centers to build and operate a school-based health center at Auburn Mountainview High School in the Auburn School District. Sea Mar is being awarded $357,000 annually and an additional one-time $350,000 capital grant so they can build a new health center at Mountainview. This will be Sea Mar’s first SBHC in King County.","$   707,000.00","7, 9"
5 - 24,Stopping the School-to-Prison Pipeline,African American Leadership Forum,The Leadership Forum’s Youth Education Leadership & Liberation program prepares youth for a positive life where they can out-earn their parents and live a life free of the penal system. They work towards this goal by collaborating with schools to identify youth who are struggling and in danger of being pushed out. They form relationships with youth and parents to find an alternative that will be successful to the family unit and the youth. Contract End Date: 12/31/24,"$   910,629.00","7, 5, 1, 9, 2, 4, 8"
5 - 24,Stopping the School-to-Prison Pipeline,Black Star Line African Centered Family Educational Collective,"Black Star Line’s EYBS program provides young people ages 12-24 with meaningful learning experiences and practical work-related opportunities in community-based Black businesses and organizations. These internships give young people a place to explore career options and learn new skills while offering employers the opportunity to bring new ideas and energy into their workplace, develop talent and contribute to the replacement of the school-to-prison pipeline with the school-to-life success pathway. Contract End Date: 12/31/24","$   866,374.00","1, 2, 3, 5, 4, 6, 7, 9, 8"
5 - 24,Stopping the School-to-Prison Pipeline,CHOOSE 180,"Choose 180’s School Pushout to Academic Success Program connects students and their families throughout the school year to programming that helps them with goal setting aimed at academic success. After the school year ends, their summer program and aftercare program provides continued support to youth who are at risk of engagement with the criminal legal system. Contract End Date: 12/31/24","$   679,295.00","1, 2, 3, 4, 5, 6, 7, 9, 8"
5 - 24,Stopping the School-to-Prison Pipeline,Comunidad Latina de Vashon,"Through community organizing and youth-led community building and economic empowerment campaigns, Comunidad Latina de Vashon develops young leaders ages 10-28 to collaborate, innovate, and create equitable, long term solutions that develop concrete pathways of hope and possibility for the future. Contract End Date: 12/31/24","$   787,571.00","8, 2, 5"
5 - 24,Stopping the School-to-Prison Pipeline,Creative Justice,"Creative Justice engages youth participant in  self-directed career planning around arts. They develop a plan based on the arts practice in which they are most interested and build that plan alongside our Advocacy Director, Community Care Director and their Mentor Artist to access support. Each youth is compensated for their time and periodically receives basic needs support such as grocery cards, personal items, and transportation support. Every youth completes a pre-session and post-session survey up to 4 times per a year depending on when they enter and exit the program. Contract End Date: 12/31/24","$   850,000.00",UNKNOWN
5 - 24,Stopping the School-to-Prison Pipeline,East African Community Services,"EAC’s year-round Mentorship Programs combine mentorship, youth leadership, life skills and cultural learning with rich opportunities for career exploration and academic support to create school-to-life success pathways for young program participants. Funded by: Expanded Learning Strategy // Stopping the STPP Contract End Date: 12/31/24","$   910,629.00","5, 7, 3, 9, 2, 8"
,Stopping the School-to-Prison Pipeline,El Centro de la Raza,,"$   265,000.00",
5 - 24,Stopping the School-to-Prison Pipeline,Glover Empower Mentoring,"Through a collaboration with South Center Mall, Glover Empower Mentoring and SafeFutures Youth Center work with youth who have been apprehended on mall premises due to petty “crime.” Upon receiving a youth referral, youth are enrolled in programming that supports them in identifying life goals and an actionable plan to pursue them. Along with coaching activities, youth receive counseling on addressing barriers.  Contract End Date: 12/31/24","$   910,629.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
5 - 24,Stopping the School-to-Prison Pipeline,Neighborhood House,"NH’s Youth Advocacy Program works primarily with BIPOC youth ages 12-21 in South King County who have been referred by the Prosecuting Attorney’s Office due to truancy, or who are at risk of legal involvement. Program youth advocates build trust first before guiding their peers to identify goals, strengths and challenges. They then work together with them for however long they need to be successful in school, life and their community. Contract End Date: 12/31/24","$   910,629.00","5, 7, 9, 2, 8"
5 - 24,Stopping the School-to-Prison Pipeline,Pro Se Potential,"Pro Se’s SOAR program reflects Best Start for Kids’ Stopping the School to Prison Pipeline principles of economic solvency and positive identity development. Youth ages 13-17 who participate in SOAR engage in both workforce development programs and healing-centered engagement. Through peer partners or case managers, the program connects youth with SOAR services. Contract End Date: 12/31/24","$   787,019.00","5, 7, 9, 2, 8"
5 - 24,Stopping the School-to-Prison Pipeline,Urban Native Education Alliance,"UNEA’s Clear Sky program is a free, drop-in weekly educational program for intertribal Native youth and their families that focuses on leadership, life skills, language and literacy. The program offers after-school enrichment activities that include unique native-focused curriculum and trainings. Curriculum emphasizes youth empowerment and leadership, athletic activities, native language instruction, education Native American history and decolonization, art & cultural activities. Contract End Date: 12/31/24","$   910,629.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,Technical Assistance & Capacity Building,alterNative Consulting,"alterNative is a consulting group led by Victor Rodriguez and Dr. Damarys Espinoza. As Indigenous Xicanxs deeply rooted in our communities, we are committed to working with community organizations with a deliberate focus on advancing racial justice and equity across King County. We combine interdisciplinary expertise with our lived experience to provide you with tailored services -- building a new initiative, strategic planning, facilitation, program development, community engagement, qualitative research, policy analysis, and much more. We incorporate an ""equity and social justice lens"" to all the work we do. Guiding values that inform our work as capacity builders include: 1) building community power; 2) building bridges; and 3) building relationships. Our role as capacity builders is to work in partnership with community organizations to foster their strengths and in doing so, build community power. Contract End Date: 12/31/24","$   300,000.00","1, 9, 8, 7, 6, 5, 4, 3, 2"
Technical Assistance & Capacity Building,Technical Assistance & Capacity Building,"Attemla Consulting, LLC","Attemla Consulting believes that a company’s well-being deserves a SWAP: Somatic Wellness & Anti-racist Practices™, an evidence-based introduction of combining embodied trauma-informed mindfulness, intersectional racial equity and anti-Black racism philosophies fused within pathways to wellness. Our collective of consultants have over 12 years of local to global experience providing services to diverse communities across King County. We work with under-resourced families and children from immigrant and refugee communities of the global majority that speak over 50 unique languages and serve the complex needs of homeless people, youth in schools, incarcerated people via prison abolitionism, LGBTQIA+ and/or QIBPOC communities, and medical patients with complex treatment. Attemla provides transformational experiences that lead to organizations innovating in ways that disrupt systems of inequity, services related to organizational formation and risk assessment, board development & governance, asset mapping, workplace & leadership wellness via trauma informed care, perinatal mental health and reducing biases that lead to the disconnect between providers and BIPOC clients. Contract End Date: 12/31/24","$   300,000.00","1, 9, 8, 7, 6, 5, 4, 3, 2"
Technical Assistance & Capacity Building,Technical Assistance & Capacity Building,Bulle Consulting,"Hassan Wardere and his team mainly focus on an equity-driven Return on Relationship (RoR) framework that is centered on strengths-based practices. Our team has a holistic experience that enables us to provide capacity building services that help organizations strengthen their internal infrastructure, continuously improving their ability to scale and adapt to change. We have helped over 104 organizations across the U.S., and have also worked with clients in Brazil, Rwanda, Ghana, South Africa, and Senegal. Language being an important factor in our work, we have a diverse team that values language justice on all levels. We promote co-creation within a holistic process that champions King County’s diversity and utilizes culturally congruent strategies that enable families and children to thrive. Contract End Date: 12/31/24","$   540,000.00","1, 2, 3, 4, 5, 6, 7, 8, 9"
Technical Assistance & Capacity Building,Technical Assistance & Capacity Building,Cardea Services,"Cardea is a national, nonprofit, women of color-led organization based in Seattle with nearly 50 years of experience in social impact evaluation, policy advancement, capacity development, and professional learning. We envision a world in which optimal health and well-being, equity, and justice are realities for all communities, and our mission is to address complex program, policy, and systems issues by co-creating solutions that center community strengths and wisdom. Our team is passionate about the power of evaluations that center equity, social justice, and community voice to share our partners’ successes and drive the changes they seek. Cardea’s 12-person social impact evaluation team specializes in community-driven, culturally responsive qualitative and quantitative methods, participatory and collaborative evaluation, and data visualization and storytelling. Cardea has been a partner to Best Starts for Kids on a range of evaluation-related initiatives since 2018. Contract End Date: 12/31/24","$   300,000.00","1, 9, 8, 7, 6, 5, 4, 3, 2"
Technical Assistance & Capacity Building,Technical Assistance & Capacity Building,Cloudbreak Collective,"Brittany Kirk believes that thoughtfully prepared and strategically managed grant applications can be meaningful catalysts to collaboration, program development, community impact, and organizational sustainability. Brittany and her team have worked with more than 70 diverse nonprofits across a wide spectrum of missions including health and nutrition, economic development, social services, education, arts, and environmental sustainability. With each client, they seek to apply proven strategies to the unique challenges, missions, and contexts of each organization and to help clients tell authentic stories about their work. Brittany holds a Master of Public Administration (MPA) from the University of Washington’s Evans School of Governance. Contract End Date: 12/31/24","$   90,000.00","1, 9, 8, 7, 6, 5, 4, 3, 2"
Technical Assistance & Capacity Building,Technical Assistance & Capacity Building,Communities Rise,"Communities Rise fosters movements to build power in communities in Washington impacted by systemic oppression. To create an equitable system, we pursue cross-sector collaboration, and provide capacity building and legal services for community organizations and small businesses. We recognize the strength and resilience in our communities and offer support through peer learning, coaching, legal services, tools and trainings. We work with community leaders in the broader nonprofit, public, and philanthropic sectors to create systemic change. By valuing community voices, sharing knowledge, prioritizing racial equity, and leading by example, we aim to build trust, power, and strength in our communities. Contract End Date: 12/31/24","$   153,125.00","1, 9, 8, 7, 6, 5, 4, 3, 2"
Technical Assistance & Capacity Building,Technical Assistance & Capacity Building,Crux Consulting Consortium,"BSK Technical Assistance & Capacity Building: Crux is a multidisciplinary consulting group that supports the development of strong leaders and leadership. At the heart of all that we do is a deep commitment to developing systems changes centered in principles of diversity, equity, and inclusion. We help teams design and initiate organizational evolution, disrupt entrenched patterns, and capture strategic opportunities. At Crux we build customized consulting teams for each project, investing our decades of experience in your capacity to deliver on your priorities. Crux services available through BSK include Board Development, Communications, Data and Evaluation, Equity and Social Justice, Finance, Fundraising, Human Resources, Needs Assessments, Volunteer Management, and overall Organizational Development. Contract End Date: 12/31/24","$   667,500.00","9, 8, 7, 6, 5, 4, 3, 2, 1"
Technical Assistance & Capacity Building,Technical Assistance & Capacity Building,Dicentra Consulting,"Dicentra Consulting’s team — Swee May Cripe, Ashenafi Cherkos, and Karen Cowgill — is delighted to have this opportunity to support community-based organizations (CBOs) as they apply for Best Starts funds. Our team speaks Amharic, Tigrigna, Spanish, French, Malay, and Cantonese. We have skills and many years of experience in writing proposals that get funded, designing projects, analyzing data, and conducting evaluations. We focus on building transformational relationships that are based on trust and respect. We understand that every person has value and we want to help you promote voices from your community. We will first listen to understand the vision and mission of your CBO and what you hope to do with Best Starts funds. Then we will agree together on how we can best support you to tell your story. We are excited to help you craft strong proposals that will be funded and lead to successful programs! Contract End Date: 12/31/24","$   72,000.00","1, 2, 9, 8, 7, 6, 5, 4, 3"
Technical Assistance & Capacity Building,Technical Assistance & Capacity Building,Inclusive Data LLC,"Inclusive Data is a consulting team of grant winners and tech wizards who teach and support clients to create community-led solutions. We've honed our grant skills into an $18+ million playbook for Black non-profits and small businesses in our community all while centering liberation frameworks. For Best Starts for Kids, we provide both Technical Assistance and Capacity-Building in English, Spanish, and Mandarin. For Organizational Development and Fundraising Strategy Capacity Building, we can help you tap into the power of community-building, strategizing to connect with the right sponsors and donors, refining your message, and leveraging social media. For IT Capacity Building, we can provide a website audit and asynchronous video interview to better understand your needs. We offer IT strategy through tech automation such as templates, click-and-load websites, donation automation, Click Funnels, Kartra, and automated outreach/marketing workflows. Contract End Date: 12/31/24","$   390,000.00","1, 2, 9, 8, 7, 6, 5, 4, 3"
Technical Assistance & Capacity Building,Technical Assistance & Capacity Building,Pamela J. Oakes,"Pamela J. Oakes, owner of The Profitable Nonprofit, is a Fund & Organizational Development expert passionately promoting Inclusion, Diversity, Equity & Access (IDEA) in philanthropy.  She conducted Equity & Inclusion workshops while consulting the top corporations in South Africa during the post-apartheid Racial Reconciliation period.  As a former grant maker with the Bill Melinda Gates Foundation, her work is laser-focused on revenue generation and diversification; donor acquisition and retention; effective governance & board leadership; and implementing transformative organizational visions and sound operational systems. She leaves nonprofits with robust fundraising strategies to enable catalytic funding goals and foundational program offerings aligned with a strategic plan that deliver quantitative evidence of credibility and service. Pamela is a certified state trainer for the Washington Nonprofit Association, as well as the Nonprofit Association of Oregon. Her aim is to lift others up through her work by translating ‘hope’ into articulate, strategic, actionable intents. Contract End Date: 12/31/24","$   216,000.00","9, 8, 7, 6, 5, 4, 3, 2, 1"
